Method,Hit Rate @ 10,Hit Rate @ 50,Hit Rate @ 100
Popularity,0.05,0.23,0.31
Pure CB,0.04,0.12,0.22
Weighted Hybrid,0.04,0.1,0.29
Random,0.02,0.15,0.32
